id,c_name,c_date,c_price,c_open,c_high,c_low
1,道瓊鋼鐵指數,2021-10-31,405.21,357.64,407.28,344.77
2,道瓊鋼鐵指數,2021-09-30,357.35,413.39,414.81,341.46
3,道瓊鋼鐵指數,2021-08-31,415.29,388.89,453.23,374.53
4,道瓊鋼鐵指數,2021-07-31,387.34,362.9,392.18,335.41
5,道瓊鋼鐵指數,2021-06-30,360.35,390.38,410.86,350.45
6,道瓊鋼鐵指數,2021-05-31,385.25,329.05,401.87,329.05
7,道瓊鋼鐵指數,2021-04-30,328.66,317.67,335.01,305.41
8,道瓊鋼鐵指數,2021-03-31,317.93,251.63,328.39,251.63
9,道瓊鋼鐵指數,2021-02-28,251.63,208.43,266.93,207.17
10,道瓊鋼鐵指數,2021-01-31,208.43,224.43,248.72,205.35
11,道瓊鋼鐵指數,2020-12-31,223.09,225.82,236.64,217.88
12,道瓊鋼鐵指數,2020-11-30,221.9,203.81,233.96,195.42
13,道瓊鋼鐵指數,2020-10-31,200.52,187.97,212.81,185.8
14,道瓊鋼鐵指數,2020-09-30,187.42,191.79,207.75,184.42
15,道瓊鋼鐵指數,2020-08-31,192.04,181.06,201.66,179.59
16,道瓊鋼鐵指數,2020-07-31,179.5,178.37,189.04,164.81
17,道瓊鋼鐵指數,2020-06-30,177.91,176.99,200.97,169.71
18,道瓊鋼鐵指數,2020-05-31,176.55,162.61,184.12,144.74
19,道瓊鋼鐵指數,2020-04-30,166.24,146.8,177.17,143.78
20,道瓊鋼鐵指數,2020-03-31,153.26,189.23,198.83,118.62
21,道瓊鋼鐵指數,2020-02-29,187.61,211.75,222.82,182.04
22,道瓊鋼鐵指數,2020-01-31,210.95,244.25,244.65,210.69
23,道瓊鋼鐵指數,2019-12-31,242.13,245.0,254.65,238.51
